Year,Month,Day,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,97.6,553.9,323.8,74,667.9,354.3,1.7,7,68.386,0,0.119,3.43,1.302,251.97,81.653,12,1000
2017,1,2,137.8,55.2,159.3,73.4,651.8,345.7,5.9,9,68.308,1.6,0.119,3.18,2.1736,221.56,88.41,12.5,1000
2017,1,3,143.7,115.1,178.7,61.7,708.7,352.2,6.4,7.6,68.223,1.6,0.119,1.56,2.3645,224.76,74.027,14.3,1004
2017,1,4,58.9,718.1,354.3,58.9,718.1,354.3,1.2,8.7,68.133,0.4,0.119,2.09,2.3019,285.9,76.81,14.4,1003
2017,1,5,73.3,201.5,115,59.7,708,353.6,3,12.9,68.039,1.6,0.119,3.65,2.592,221.48,99.221,14.8,1000
2017,1,6,61,747.6,371.7,61,747.6,371.7,1,7.2,67.936,0,0.119,1.96,1.1646,83.39,69.54,14.8,1000
2017,1,7,128.8,363.4,287,60.5,716.4,358.8,6.4,8.2,67.831,1.6,0.119,2.16,2.461,130.44,65.535,16.6,1010
2017,1,8,65.3,681.9,357.4,55.2,761.6,370.2,3.3,9.6,67.716,1.2,0.1192,2.58,1.7754,187.14,61.167,19,1010
2017,1,9,129.9,40.5,149.7,77.1,647.1,351.8,6.9,13.4,67.597,2,0.121,1.56,2.6523,223.1,96.911,15.5,1010
2017,1,10,108.3,443.8,291.6,62.6,733.6,371.7,3.6,8.7,67.474,1.6,0.121,2.32,1.7708,288.47,77.674,14.4,1004
2017,1,11,97.2,17.3,102.2,68.3,707.4,369.9,3,12.3,67.341,1.6,0.121,4,1.8385,215.81,98.061,14.3,1000
2017,1,12,117.2,49.7,144.7,72.5,687.1,366.4,7.555555556,10.9,67.209,1.7,0.121,3.04,2.1375,194.2,95.368,13.6,1000
2017,1,13,162.2,134.3,221.3,67.7,718.4,376,7.1,8,67.065,1.6,0.121,1.67,1.6845,207.99,84.312,12.5,1000
2017,1,14,70.2,694.9,374.2,70.2,694.9,374.2,1,9.5,66.919,0,0.121,2.05,1.8347,259.99,75.05,15.7,1000
2017,1,15,156.8,288.9,280.7,89.4,637.6,371.4,7.5,10.3,66.769,1.6,0.121,4,1.6526,189.58,88.801,14.2,1000
2017,1,16,97.9,519.6,337.3,76.8,697.3,381.5,3.8,7.7,66.61,0.8,0.1213,1.57,1.5633,76.01,69.595,14.8,1000
2017,1,17,61.4,778.5,399.8,61.4,778.5,399.8,1,6.9,66.447,0,0.124,1.79,0.9763,183.59,65.01,15.3,1003
2017,1,18,140.3,389.2,306.6,74.6,716,389.6,4.6,8.2,66.28,1.6,0.124,2.48,1.4753,220.37,77.824,14,1005
2017,1,19,144.5,228.2,252.2,77.7,699.6,391.7,6.3,10.5,66.108,1.2,0.124,5.01,1.5665,249.44,88.238,14,1000
2017,1,20,37,0,37,90.9,634.7,378.9,7.2,10.7,65.93,2,0.124,8.07,2.1723,218.61,97.192,13.1,990
2017,1,21,102.2,512.5,320.7,75.3,708.9,400.8,1.5,7.4,65.747,0,0.124,4.65,1.4366,278.52,80.428,12.8,1000
2017,1,22,87.7,0,87.7,86.9,656.8,383.1,3.9,9.4,65.56,2,0.124,7.62,2.7734,179.88,88.477,13.3,1000
2017,1,23,83.5,3.5,85.4,121.2,550.5,381.4,6,8.1,65.367,1.6,0.124,6.69,1.5704,247.83,87.897,11.9,1000
2017,1,24,130.8,436,303.5,73.2,743,410.9,3.6,5.5,65.171,0.8,0.1239,2.84,1.3028,263.11,81.456,10.6,1000
2017,1,25,62.2,822.1,432,62.2,822.1,432,1.2,2.3,64.968,0.4,0.123,1.89,0.8129,179.65,56.884,12.5,1010
